key,name,color,draw,ml,maxTests,additive,note,short
bc_aerobic,"Blood Culture, Aerobic",#3b82f6,1,10,,Aerobic culture medium,Aseptic technique. Fill to the mark. Collect BEFORE the anaerobic bottle.,Aerobic culture
bc_anaerobic,"Blood Culture, Anaerobic",#f97316,2,10,,Anaerobic culture medium,Collect AFTER the aerobic bottle.,Anaerobic culture
blue,Light Blue (Sodium Citrate),#60a5fa,3,2.7,5,"3.2% sodium citrate, coagulation","Fill exactly to the line, the blood:anticoagulant ratio is critical.",Sodium Citrate
gold,Gold / SST (Serum),#d4af37,4,5,15,"Clot activator + separator gel, serum",,SST (Serum)
green,Green (Lithium Heparin),#34d399,5,4,15,"Lithium heparin, plasma",,Lithium Heparin
purple,Purple / Lavender (EDTA),#a78bfa,6,4,12,"EDTA anticoagulant, whole blood",,EDTA
pink,"Pink (EDTA, Blood Bank)",#f472b6,7,6,,"EDTA, group & hold / crossmatch",Strict patient-ID and labelling rules apply for transfusion samples.,"EDTA, Blood Bank"
grey,Grey (Fluoride Oxalate),#9ca3af,8,2,8,"Sodium fluoride / potassium oxalate, glycolysis inhibitor",,Fluoride Oxalate
royalblue,Royal Blue (Trace Elements),#1d4ed8,9,6,6,Trace-element-free tube,"Draw-order position for trace-element tubes varies, check local policy.",Trace Elements
acd,Yellow (ACD),#fbbf24,10,8,,"Acid citrate dextrose (ACD-A or ACD-B)","Used for HLA typing, some flow cytometry, and molecular virology (e.g. CMV). Check local policy for ACD-A vs ACD-B.",ACD
confirm,Confirm collection type,#8e8e93,90,0,,Specimen and tube not yet confirmed,"Tube Checker does not yet have a verified tube for this test. Open the RCPA entry to confirm the correct specimen and tube.",Unconfirmed
nonblood,Non-blood specimen,#6b7280,95,0,,Not a blood tube,"Collected as a non-blood specimen (e.g. urine, swab, fluid, tissue). Open the RCPA entry to confirm requirements.",Non-blood
abg,Arterial blood gas (syringe),#ef4444,92,0,,"Balanced heparin, arterial","Collected into a pre-heparinised blood-gas syringe and measured immediately, not a cap-colour tube.",Arterial blood gas
